y,ds
32.35294118,18-02-2020 08:00
32.35294118,18-02-2020 09:00
31.05882353,18-02-2020 13:00
29.76470588,18-02-2020 14:00
27.82352941,18-02-2020 16:00
26.52941176,18-02-2020 17:00
26.52941176,18-02-2020 18:00
24.91176471,18-02-2020 19:00
23.94117647,18-02-2020 20:00
22.32352941,18-02-2020 21:00
22.32352941,18-02-2020 22:00
22,18-02-2020 23:00
22,18-02-2020 00:00
21.67647059,18-02-2020 00:00
21.67647059,18-02-2020 02:00
21.35294118,18-02-2020 03:00
21.02941176,18-02-2020 05:00
20.70588235,18-02-2020 06:00
21.02941176,18-02-2020 08:00
21.35294118,18-02-2020 09:00
21.02941176,18-02-2020 10:00
18.11764706,18-02-2020 12:00
15.85294118,18-02-2020 15:00
15.52941176,18-02-2020 16:00
16.17647059,18-02-2020 18:00
16.17647059,18-02-2020 19:00
15.85294118,18-02-2020 20:00
14.88235294,18-02-2020 21:00
14.55882353,18-02-2020 22:00
13.58823529,18-02-2020 23:00
13.58823529,18-02-2020 00:00
13.58823529,18-02-2020 00:00
13.58823529,18-02-2020 02:00
13.91176471,18-02-2020 03:00
13.91176471,18-02-2020 04:00
13.91176471,18-02-2020 05:00
13.58823529,18-02-2020 06:00
11.97058824,18-02-2020 10:00
11.64705882,18-02-2020 11:00
11.64705882,18-02-2020 12:00
11.32352941,18-02-2020 13:00
10.67647059,18-02-2020 15:00
10.67647059,18-02-2020 16:00
10.67647059,18-02-2020 17:00
10.67647059,18-02-2020 18:00
10.35294118,18-02-2020 19:00
10.35294118,18-02-2020 20:00
10.35294118,18-02-2020 21:00
10.67647059,18-02-2020 22:00
10.67647059,18-02-2020 00:00
10.35294118,18-02-2020 02:00
10.02941176,18-02-2020 03:00
10.02941176,18-02-2020 04:00
10.02941176,18-02-2020 05:00
10.67647059,18-02-2020 06:00
10.67647059,18-02-2020 07:00
10.67647059,18-02-2020 08:00
9.705882353,18-02-2020 10:00
9.382352941,18-02-2020 11:00
9.382352941,18-02-2020 12:00
9.382352941,18-02-2020 13:00
9.058823529,18-02-2020 14:00
9.058823529,18-02-2020 15:00
9.058823529,18-02-2020 16:00
8.735294118,18-02-2020 17:00
8.735294118,18-02-2020 18:00
9.705882353,18-02-2020 20:00
10.35294118,18-02-2020 21:00
10.35294118,18-02-2020 22:00
10.35294118,18-02-2020 23:00
10.35294118,18-02-2020 00:00
10.35294118,18-02-2020 00:00
11,18-02-2020 02:00
10.67647059,18-02-2020 03:00
9.382352941,18-02-2020 04:00
9.382352941,18-02-2020 05:00
9.382352941,18-02-2020 06:00
10.67647059,18-02-2020 07:00
11,18-02-2020 09:00
11.64705882,18-02-2020 12:00
11.64705882,18-02-2020 13:00
11.64705882,18-02-2020 14:00
13.58823529,18-02-2020 17:00
13.58823529,18-02-2020 18:00
13.58823529,18-02-2020 19:00
13.58823529,18-02-2020 20:00
13.26470588,18-02-2020 21:00
12.94117647,18-02-2020 22:00
12.94117647,18-02-2020 23:00
12.61764706,18-02-2020 00:00
12.61764706,18-02-2020 02:00
13.26470588,18-02-2020 03:00
13.58823529,18-02-2020 04:00
13.91176471,18-02-2020 05:00
